time_ms,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,grip_force,emg_level,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,exercise_state,interpretation
0,2.0,3.9,5.6,6.6,5.2,2,63,0.039,-0.011,0.95,0.783,0.369,-0.372,rest,no_exercise
100,3.0,5.2,6.3,4.2,4.8,4,72,0.006,0.028,0.959,0.627,-0.063,-0.124,rest,no_exercise
200,2.1,7.5,4.7,5.8,6.3,0,55,0.076,-0.039,0.977,0.02,0.193,0.19,rest,no_exercise
300,4.3,6.5,9.4,7.4,3.6,3,95,0.017,0.046,0.944,-0.894,0.076,0.268,rest,no_exercise
400,2.8,4.4,5.4,5.1,10.1,0,93,-0.056,0.016,0.995,-0.419,-0.424,-0.253,rest,no_exercise
500,1.9,8.8,5.0,5.2,4.6,2,67,-0.005,-0.013,0.927,0.508,-0.192,-0.518,rest,no_exercise
600,3.7,5.4,6.5,3.4,3.7,2,68,0.064,-0.004,0.989,0.288,0.428,0.158,rest,no_exercise
700,2.4,5.1,6.3,2.9,7.3,5,80,0.048,-0.061,0.956,-0.133,0.474,-0.378,rest,no_exercise
800,4.4,5.3,3.3,8.4,9.4,5,69,-0.007,0.023,0.947,-0.397,0.23,0.547,rest,no_exercise
900,5.2,7.7,7.2,6.4,3.4,2,90,0.167,0.056,0.995,-0.076,-0.231,0.115,rest,no_exercise
1000,3.7,6.8,5.3,3.9,9.1,3,83,-0.091,0.035,0.945,-0.065,-0.158,-0.303,rest,no_exercise
1100,1.8,6.5,3.7,4.1,9.0,3,81,0.016,-0.048,0.993,0.442,-0.409,-0.482,rest,no_exercise
1200,3.8,6.5,7.8,4.1,4.8,1,87,-0.038,-0.075,0.938,0.682,0.437,0.439,rest,no_exercise
1300,1.9,6.1,4.8,5.8,5.3,2,114,-0.028,-0.103,1.024,-0.327,-0.406,-0.399,rest,no_exercise
1400,3.7,9.0,9.9,4.9,5.1,0,93,0.053,-0.038,0.976,0.238,-0.022,-0.246,rest,no_exercise
1500,3.3,5.6,7.5,3.4,3.2,3,110,0.115,-0.01,0.92,-0.489,0.597,0.282,rest,no_exercise
1600,5.8,5.2,6.5,8.4,6.6,3,63,-0.03,-0.025,0.985,0.098,0.146,0.226,rest,no_exercise
1700,5.3,3.5,3.6,7.4,7.6,0,61,0.014,-0.023,1.005,-0.023,-0.578,0.212,rest,no_exercise
1800,1.1,6.2,7.6,7.6,7.7,0,55,0.06,-0.009,0.988,0.628,-0.16,0.001,rest,no_exercise
1900,1.4,8.5,8.3,6.5,8.2,1,95,0.11,-0.024,0.95,0.881,-0.113,-0.219,rest,no_exercise
2000,2.9,3.3,4.2,4.8,5.4,2,90,-0.002,0.084,0.938,0.534,0.189,-0.83,rest,no_exercise
2100,2.1,6.6,6.3,6.9,4.3,0,43,0.077,0.022,1.034,-0.289,-0.549,-0.214,rest,no_exercise
2200,0.0,4.0,4.2,3.4,3.5,0,99,-0.004,-0.057,0.923,-0.294,-0.07,0.206,rest,no_exercise
2300,4.0,5.8,8.2,5.9,7.2,2,71,0.012,0.036,1.01,-0.237,-0.334,0.232,rest,no_exercise
2400,5.5,4.1,2.8,6.3,6.4,3,125,0.023,-0.009,0.955,-0.575,-0.073,-0.197,rest,no_exercise
2500,4.7,3.3,5.6,2.7,6.6,0,92,0.035,-0.053,0.971,0.534,-0.352,0.22,rest,no_exercise
2600,4.5,6.0,7.8,5.2,6.4,5,61,-0.028,-0.033,0.982,0.532,0.302,0.274,rest,no_exercise
2700,3.2,6.0,5.8,8.3,4.8,0,84,0.037,-0.033,0.907,-0.918,-0.026,-0.113,rest,no_exercise
2800,2.9,4.4,6.4,3.7,4.3,0,92,0.03,0.001,0.924,-0.11,0.366,0.622,rest,no_exercise
2900,1.9,5.2,5.8,4.5,4.3,3,49,0.05,-0.029,1.011,1.171,0.126,0.321,rest,no_exercise
3000,60.9,54.4,61.5,56.0,66.0,2,175,0.03,-0.074,0.976,4.876,-0.117,0.873,hand_opening,movement_phase
3100,52.0,55.1,53.7,55.9,51.1,2,191,0.026,-0.046,0.967,2.047,0.342,-1.138,hand_opening,movement_phase
3200,51.3,47.9,52.0,57.1,51.9,3,151,0.049,-0.02,0.991,1.987,-0.056,-0.048,hand_opening,movement_phase
3300,44.0,51.5,46.5,45.5,50.2,2,214,0.066,-0.081,0.908,3.526,-1.894,-0.245,hand_opening,movement_phase
3400,38.8,39.3,39.5,45.0,39.7,5,186,-0.002,-0.038,1.002,2.601,-0.82,0.379,hand_opening,movement_phase
3500,37.8,37.7,44.3,44.6,35.6,3,184,0.018,0.026,0.86,1.777,-0.03,0.262,hand_opening,movement_phase
3600,34.7,38.9,31.1,34.3,35.4,4,181,0.044,-0.033,0.876,1.379,-0.424,0.594,hand_opening,movement_phase
3700,29.5,31.4,29.6,34.8,30.0,2,191,-0.068,-0.019,1.01,1.814,-0.691,-0.01,hand_opening,movement_phase
3800,28.0,27.9,25.0,32.5,29.2,5,182,0.033,0.037,0.949,2.857,0.25,-0.363,hand_opening,movement_phase
3900,22.9,26.1,20.0,26.0,20.6,1,213,0.014,-0.003,0.946,1.826,0.914,-0.295,hand_opening,movement_phase
4000,21.2,20.0,16.7,19.6,21.4,2,192,0.064,-0.003,0.973,3.367,-0.54,-0.832,hand_opening,movement_phase
4100,16.7,19.3,14.0,16.6,15.4,6,176,-0.001,-0.057,0.962,2.943,0.312,-0.493,hand_opening,movement_phase
4200,6.5,12.0,10.3,13.1,13.7,5,181,-0.06,-0.105,0.961,1.684,0.07,1.368,hand_opening,movement_phase
4300,8.0,4.6,3.9,10.7,8.0,3,216,0.032,-0.043,0.984,1.198,-0.469,0.603,hand_opening,movement_phase
4400,7.8,3.2,14.7,16.3,3.7,7,262,0.077,-0.101,1.069,4.901,-0.274,0.633,hand_closing,movement_phase
4500,10.1,10.2,14.0,12.9,9.1,9,233,-0.021,-0.024,0.937,5.983,-0.573,1.42,hand_closing,movement_phase
4600,19.0,18.8,18.6,14.6,13.7,9,277,0.056,-0.016,0.952,4.918,0.843,-0.875,hand_closing,movement_phase
4700,20.4,20.5,19.3,20.8,19.5,14,260,0.087,-0.036,0.897,5.05,-0.039,0.722,hand_closing,movement_phase
4800,25.7,20.8,25.3,23.2,21.7,17,291,0.065,-0.022,0.924,3.615,0.038,-0.062,hand_closing,movement_phase
4900,27.7,25.9,37.4,29.2,22.8,17,270,0.105,-0.037,0.982,4.735,-0.124,0.459,hand_closing,movement_phase
5000,34.3,32.4,31.2,33.4,31.1,21,315,0.043,-0.005,0.965,3.845,0.156,-0.467,hand_closing,movement_phase
5100,36.0,36.7,35.4,39.3,32.7,21,289,0.098,-0.03,0.998,5.006,1.008,0.533,hand_closing,movement_phase
5200,40.2,41.3,46.6,49.7,34.2,24,354,0.03,0.004,0.959,2.523,0.164,-0.782,hand_closing,movement_phase
5300,49.3,39.9,51.7,48.0,42.2,26,347,-0.008,-0.074,0.968,4.655,-0.021,-0.761,hand_closing,movement_phase
5400,49.3,48.2,51.0,48.6,43.2,27,362,-0.042,-0.064,0.976,3.37,0.06,-0.159,hand_closing,movement_phase
5500,45.2,43.2,50.2,51.6,49.7,32,403,0.024,-0.09,0.869,2.381,-0.261,-0.134,hand_closing,movement_phase
5600,56.7,55.1,56.7,60.9,51.5,33,373,0.005,0.029,0.973,2.448,0.211,-0.898,hand_closing,movement_phase
5700,59.2,56.9,57.2,55.9,59.5,34,435,0.025,-0.046,0.989,4.217,-0.427,-0.099,hand_closing,movement_phase
5800,64.2,63.6,58.6,61.8,56.8,37,451,-0.005,-0.078,1.035,4.43,0.72,-0.09,hand_closing,movement_phase
5900,71.7,57.9,67.6,65.3,63.7,39,449,-0.016,-0.053,0.926,7.843,1.791,-0.117,hand_closing,movement_phase
6000,63.9,64.9,60.6,61.5,64.8,55,393,0.045,-0.045,0.949,0.056,-0.543,-0.645,grip_hold,successful_grip
6100,63.8,64.0,63.0,64.1,64.8,57,444,0.041,-0.019,1.002,0.211,0.961,0.793,grip_hold,successful_grip
6200,67.2,66.9,60.7,64.4,68.7,55,440,-0.04,-0.071,0.917,-1.681,0.392,0.491,grip_hold,successful_grip
6300,65.4,67.5,58.7,66.1,70.2,57,429,0.042,-0.065,0.997,-2.128,-0.735,0.042,grip_hold,successful_grip
6400,63.8,64.8,59.8,66.6,64.4,57,403,0.12,-0.085,0.947,-0.254,-0.123,0.186,grip_hold,successful_grip
6500,64.5,68.6,61.6,66.4,63.9,56,445,0.006,-0.122,0.939,0.237,0.44,0.324,grip_hold,successful_grip
6600,63.1,65.7,60.7,59.5,67.7,60,421,-0.004,0.017,0.945,-0.667,-0.033,0.266,grip_hold,successful_grip
6700,68.1,61.9,61.4,62.5,64.0,56,430,0.114,0.031,0.949,0.116,0.003,0.628,grip_hold,successful_grip
6800,61.1,64.6,61.2,58.2,66.3,53,465,0.101,0.012,1.025,-0.35,0.326,-0.699,grip_hold,successful_grip
6900,63.1,64.0,58.9,64.6,65.5,55,461,0.06,-0.018,1.052,-0.335,1.066,-0.224,grip_hold,successful_grip
7000,66.4,66.6,57.9,62.5,65.1,59,415,-0.052,-0.063,0.994,0.421,1.039,0.567,grip_hold,successful_grip
7100,63.6,64.0,57.8,61.4,64.2,55,482,0.036,-0.018,0.979,-0.095,-0.596,-0.396,grip_hold,successful_grip
7200,67.0,62.8,59.0,63.5,65.6,55,462,0.064,-0.094,0.915,1.542,-0.544,-0.688,grip_hold,successful_grip
7300,66.0,68.0,59.6,66.3,66.9,57,444,0.01,-0.066,0.981,-0.537,0.172,-0.379,grip_hold,successful_grip
7400,63.7,67.6,60.5,59.1,72.1,38,360,0.022,-0.007,0.953,-3.343,-1.003,-0.263,release,movement_phase
7500,58.5,59.3,58.8,58.5,66.1,35,336,0.082,-0.022,0.955,-2.266,-0.484,-0.695,release,movement_phase
7600,50.1,56.2,57.2,49.8,56.1,30,334,0.073,0.015,0.964,-3.868,-0.292,1.147,release,movement_phase
7700,48.9,50.0,47.5,51.0,50.9,30,295,0.073,-0.036,1.008,-3.738,-1.023,-0.213,release,movement_phase
7800,46.7,45.1,48.3,50.7,54.5,31,316,0.119,0.034,0.918,-1.575,-0.268,0.33,release,movement_phase
7900,42.6,44.4,41.6,38.8,43.1,30,282,0.011,-0.064,0.984,-0.867,-2.713,0.899,release,movement_phase
8000,35.4,35.5,38.3,29.3,46.6,24,262,0.004,-0.126,0.951,-4.659,0.226,-0.453,release,movement_phase
8100,37.1,36.3,33.3,29.3,38.9,24,239,-0.053,0.025,0.973,-3.182,-1.32,-1.013,release,movement_phase
8200,28.3,30.3,31.8,27.4,31.9,18,258,0.057,-0.059,0.942,-4.73,0.062,0.596,release,movement_phase
8300,24.9,20.6,23.8,21.3,33.8,21,193,0.035,-0.066,0.921,-3.377,-0.568,0.566,release,movement_phase
8400,18.7,22.3,15.7,19.3,21.1,20,210,0.027,0.017,0.984,-5.351,-2.069,0.532,release,movement_phase
8500,15.5,14.7,14.3,12.5,18.1,19,215,0.014,0.007,0.925,-4.959,0.402,0.869,release,movement_phase
8600,13.6,6.8,12.2,9.4,11.4,9,187,0.083,-0.047,0.968,-3.037,-0.614,-0.12,release,movement_phase
8700,5.7,6.1,6.2,0.6,9.5,11,107,0.074,-0.018,0.951,-1.89,1.349,0.678,release,movement_phase
8800,57.5,57.9,60.6,53.9,62.7,4,238,0.082,-0.041,1.009,3.198,-0.713,0.944,hand_opening,movement_phase
8900,55.8,51.7,59.4,48.9,56.2,2,199,0.008,-0.048,0.973,2.14,-1.195,0.681,hand_opening,movement_phase
9000,48.7,52.3,50.1,52.2,48.3,5,216,0.036,0.012,0.929,0.83,0.997,0.559,hand_opening,movement_phase
9100,46.1,49.0,47.9,46.7,49.5,5,206,-0.01,-0.025,1.04,3.73,0.692,-0.541,hand_opening,movement_phase
9200,44.3,42.6,44.2,45.3,45.6,4,188,0.049,-0.035,0.902,3.163,-0.215,-0.812,hand_opening,movement_phase
9300,39.1,42.6,39.7,40.2,38.0,6,175,0.073,-0.074,0.972,3.717,-0.106,-0.169,hand_opening,movement_phase
9400,32.3,31.8,37.6,33.8,36.0,2,236,-0.024,0.013,0.89,3.467,0.542,-0.339,hand_opening,movement_phase
9500,32.1,32.5,35.3,31.4,34.8,3,226,0.034,0.024,0.949,2.383,1.019,-0.191,hand_opening,movement_phase
9600,29.5,27.9,31.2,29.1,27.5,4,186,0.001,-0.072,0.942,3.173,1.38,0.887,hand_opening,movement_phase
9700,24.4,24.9,24.0,21.8,22.0,7,213,-0.082,0.07,0.977,2.594,1.071,0.283,hand_opening,movement_phase
9800,17.6,22.0,19.7,20.8,22.1,3,188,0.034,-0.069,0.937,1.2,-1.216,0.122,hand_opening,movement_phase
9900,13.2,13.7,17.8,14.5,15.7,8,176,0.105,-0.046,1.01,4.052,-0.956,0.738,hand_opening,movement_phase
10000,15.4,8.1,15.2,6.6,15.9,3,193,0.052,-0.04,0.948,3.673,0.278,-0.739,hand_opening,movement_phase
10100,4.7,14.5,4.1,2.6,6.5,3,218,0.021,-0.014,0.984,0.809,-0.966,-1.251,hand_opening,movement_phase
10200,10.1,5.2,9.4,10.6,7.8,6,192,0.068,-0.086,0.953,5.107,-0.301,0.601,hand_closing,movement_phase
10300,9.5,10.7,14.7,8.6,12.4,8,268,0.064,-0.04,1.046,3.291,0.959,0.347,hand_closing,movement_phase
10400,16.8,11.7,12.2,9.6,13.8,12,263,0.13,0.042,0.977,3.302,1.517,-0.559,hand_closing,movement_phase
10500,24.0,21.7,13.6,17.0,25.3,14,253,0.064,0.021,0.961,4.692,0.38,-1.04,hand_closing,movement_phase
10600,22.8,20.4,27.2,21.2,24.6,15,278,0.098,-0.035,1.047,4.472,-1.072,-0.287,hand_closing,movement_phase
10700,24.3,22.3,27.4,26.9,31.3,20,284,0.055,0.035,0.958,5.175,0.65,0.98,hand_closing,movement_phase
10800,25.6,28.6,31.6,29.4,35.9,20,283,0.065,-0.093,0.999,2.97,-0.335,0.277,hand_closing,movement_phase
10900,35.2,36.4,36.9,36.7,34.6,20,310,0.008,-0.074,0.971,5.187,0.514,-0.02,hand_closing,movement_phase
11000,38.3,40.0,39.0,35.5,39.4,23,325,0.053,-0.07,1.038,5.096,0.055,1.096,hand_closing,movement_phase
11100,41.5,38.2,46.1,44.2,45.6,27,388,0.045,0.045,1.009,3.138,0.089,-0.603,hand_closing,movement_phase
11200,45.1,45.1,43.6,47.6,46.7,27,354,0.001,-0.048,1.028,4.194,-1.842,-0.246,hand_closing,movement_phase
11300,46.5,48.7,53.6,50.9,47.8,28,378,-0.011,-0.018,0.943,5.769,0.244,0.048,hand_closing,movement_phase
11400,56.8,54.4,53.8,57.4,55.9,35,425,0.07,-0.094,0.991,3.759,-0.002,-0.445,hand_closing,movement_phase
11500,56.2,57.6,59.7,54.1,57.9,35,425,0.033,-0.012,0.933,4.53,-0.042,0.23,hand_closing,movement_phase
11600,62.9,62.4,62.3,61.6,62.9,36,430,0.108,0.014,0.984,4.904,0.027,0.249,hand_closing,movement_phase
11700,64.3,69.3,62.9,63.1,62.1,43,435,0.007,-0.029,0.971,3.897,-0.335,0.577,hand_closing,movement_phase
11800,65.7,67.2,68.0,67.9,66.3,55,450,0.064,-0.026,1.001,-0.174,-0.329,0.351,grip_hold,successful_grip
11900,64.0,66.2,70.6,64.9,64.8,56,447,0.054,0.038,1.0,-1.097,0.314,-0.777,grip_hold,successful_grip
12000,63.2,61.0,64.0,66.6,62.7,57,443,0.057,0.016,0.946,-0.18,0.111,0.693,grip_hold,successful_grip
12100,64.1,63.5,68.2,68.1,66.3,58,449,0.026,0.0,0.931,0.144,0.232,-0.646,grip_hold,successful_grip
12200,67.7,67.1,72.4,66.0,67.0,59,443,0.132,-0.011,0.967,-1.038,-0.704,-0.208,grip_hold,successful_grip
12300,67.0,65.0,67.9,64.9,64.6,56,450,-0.035,-0.155,1.026,0.132,-0.628,-0.543,grip_hold,successful_grip
12400,69.0,66.5,69.4,61.4,64.0,56,442,0.103,-0.016,0.981,-0.246,0.508,0.373,grip_hold,successful_grip
12500,64.3,61.7,65.1,60.6,62.7,60,459,-0.018,0.049,0.97,1.091,0.933,0.041,grip_hold,successful_grip
12600,65.4,63.7,66.5,62.8,63.4,56,436,-0.029,-0.022,1.02,0.415,0.456,0.386,grip_hold,successful_grip
12700,67.2,62.8,68.2,66.3,68.7,57,441,0.059,-0.016,0.892,0.325,-0.204,-0.014,grip_hold,successful_grip
12800,67.7,64.3,68.4,66.5,64.6,57,454,0.036,-0.04,0.978,-0.922,0.192,-0.787,grip_hold,successful_grip
12900,68.3,63.3,68.1,67.2,62.9,58,415,0.052,0.016,0.993,-0.892,-0.182,0.546,grip_hold,successful_grip
13000,67.2,66.6,68.9,62.8,62.2,56,447,-0.009,-0.059,1.0,-0.671,-0.266,0.614,grip_hold,successful_grip
13100,68.2,61.5,67.8,67.6,63.9,55,421,0.095,-0.006,0.945,0.128,-0.817,-0.729,grip_hold,successful_grip
13200,57.7,64.3,58.0,68.8,68.2,43,362,0.05,-0.072,0.931,-4.456,-2.079,-0.855,release,movement_phase
13300,57.8,57.1,58.2,60.7,64.2,39,368,0.034,-0.083,0.923,-1.847,-0.022,0.048,release,movement_phase
13400,49.5,50.5,55.1,55.4,60.8,35,335,0.068,0.009,0.941,-4.429,0.398,0.795,release,movement_phase
13500,45.5,49.2,48.8,51.1,50.9,36,311,0.056,-0.007,0.973,-2.98,0.373,-0.918,release,movement_phase
13600,42.9,43.4,45.8,48.2,47.3,28,279,0.002,-0.022,1.046,-6.234,0.792,-0.081,release,movement_phase
13700,34.0,44.9,40.6,42.8,43.9,28,273,0.123,0.031,0.974,-3.174,2.282,0.493,release,movement_phase
13800,41.7,36.2,32.0,36.2,39.2,24,291,-0.061,0.0,0.934,-2.609,-0.487,-1.286,release,movement_phase
13900,31.8,30.7,31.5,34.2,33.8,21,269,0.013,-0.102,0.998,-4.174,0.877,0.105,release,movement_phase
14000,27.5,25.9,23.7,32.4,33.8,23,223,0.054,0.055,0.915,-4.202,1.416,-0.926,release,movement_phase
14100,27.1,25.0,24.1,24.6,24.9,20,181,0.056,0.012,0.979,-3.724,0.129,-0.469,release,movement_phase
14200,17.5,20.6,13.6,18.4,20.5,16,232,-0.027,-0.035,0.988,-3.361,0.654,-0.372,release,movement_phase
14300,14.1,16.4,10.4,17.4,19.6,13,190,-0.046,-0.082,1.004,-2.075,-1.305,-1.163,release,movement_phase
14400,8.6,10.2,10.2,8.6,11.3,13,156,0.032,-0.009,0.957,-2.766,-0.489,1.061,release,movement_phase
14500,6.4,6.9,7.7,9.5,10.1,9,152,-0.094,-0.054,0.974,-3.121,-0.012,-0.795,release,movement_phase
14600,55.5,59.6,56.3,62.7,63.2,7,236,0.083,0.047,0.999,1.047,0.229,0.142,hand_opening,movement_phase
14700,52.3,57.7,54.1,50.0,56.3,5,231,0.064,0.015,1.007,1.891,-0.567,-0.777,hand_opening,movement_phase
14800,48.6,50.0,55.3,55.5,53.1,2,192,0.037,0.04,0.96,2.27,-0.183,0.279,hand_opening,movement_phase
14900,46.8,45.2,47.2,50.8,47.1,4,185,-0.116,-0.048,1.003,2.508,0.503,0.945,hand_opening,movement_phase
15000,46.1,43.3,41.7,45.9,46.7,4,206,-0.014,0.013,0.941,3.416,-1.387,1.157,hand_opening,movement_phase
15100,41.6,39.9,35.5,38.3,40.5,1,207,0.084,-0.069,1.012,4.986,0.43,-0.686,hand_opening,movement_phase
15200,33.0,38.0,36.9,39.0,38.1,5,201,-0.027,-0.008,1.03,2.516,0.431,0.285,hand_opening,movement_phase
15300,31.8,36.7,29.6,29.8,34.0,3,172,0.098,0.001,1.014,3.552,0.483,0.578,hand_opening,movement_phase
15400,24.6,30.9,22.3,31.6,32.8,4,208,-0.032,-0.005,0.911,2.903,-1.861,0.109,hand_opening,movement_phase
15500,22.1,22.6,23.3,24.0,26.5,2,163,0.107,-0.079,0.968,3.034,0.145,-0.76,hand_opening,movement_phase
15600,19.2,19.9,17.8,23.7,23.0,1,203,-0.039,-0.07,0.961,1.48,0.763,1.028,hand_opening,movement_phase
15700,16.5,17.3,13.4,18.3,17.9,5,223,-0.039,-0.011,1.04,2.191,-0.551,0.774,hand_opening,movement_phase
15800,14.1,15.6,10.9,15.7,19.6,3,190,0.067,0.002,0.961,3.099,-0.498,0.167,hand_opening,movement_phase
15900,7.5,10.4,4.1,10.9,10.4,3,210,0.01,0.01,0.953,2.443,0.036,0.076,hand_opening,movement_phase
16000,8.9,7.5,2.7,6.7,7.0,8,205,-0.008,-0.026,0.989,4.399,-0.353,0.358,hand_closing,movement_phase
16100,16.0,13.3,10.5,12.8,10.6,8,221,0.035,-0.067,1.005,5.173,-0.074,0.737,hand_closing,movement_phase
16200,22.2,20.3,14.2,22.9,14.8,8,216,0.095,-0.023,0.921,2.624,-0.795,-0.748,hand_closing,movement_phase
16300,20.4,18.5,17.3,22.0,20.7,13,262,0.045,0.039,0.936,2.23,1.608,0.392,hand_closing,movement_phase
16400,20.6,26.0,20.8,20.7,23.7,12,296,0.15,0.02,0.99,3.652,-0.287,-1.196,hand_closing,movement_phase
16500,27.3,27.7,24.7,22.6,26.2,14,304,-0.033,-0.037,0.984,3.034,-0.396,-1.683,hand_closing,movement_phase
16600,33.4,35.3,28.8,28.3,31.2,18,296,0.096,-0.005,0.916,4.453,0.914,1.271,hand_closing,movement_phase
16700,33.2,36.1,35.2,31.3,37.0,23,321,0.105,0.039,1.016,3.459,0.408,0.413,hand_closing,movement_phase
16800,45.9,41.2,38.1,31.3,36.9,22,330,-0.061,0.008,0.973,4.984,-0.909,0.432,hand_closing,movement_phase
16900,41.7,42.8,39.7,47.9,39.5,25,358,0.053,0.032,1.017,5.228,0.432,1.432,hand_closing,movement_phase
17000,47.8,44.8,43.5,45.0,38.4,26,345,0.027,-0.057,0.924,4.643,1.317,-0.733,hand_closing,movement_phase
17100,49.2,51.2,47.6,45.2,46.8,27,345,0.001,0.073,0.971,3.522,-0.559,1.05,hand_closing,movement_phase
17200,52.6,49.5,57.2,54.8,53.0,36,420,0.025,-0.009,0.976,5.698,0.206,0.405,hand_closing,movement_phase
17300,57.7,60.2,56.2,60.0,53.4,35,413,0.124,0.009,1.001,3.449,-0.072,0.742,hand_closing,movement_phase
17400,63.0,61.4,57.7,59.8,59.7,36,427,0.024,0.002,0.975,4.369,1.129,0.361,hand_closing,movement_phase
17500,65.0,63.1,55.4,67.1,59.7,39,469,0.056,-0.092,0.949,5.166,0.808,0.418,hand_closing,movement_phase
17600,67.5,60.2,63.9,62.2,65.3,58,465,-0.024,-0.032,0.991,-0.674,-0.283,0.034,grip_hold,successful_grip
17700,64.1,63.2,64.6,63.6,60.5,56,459,-0.045,0.057,0.918,-0.335,0.318,0.326,grip_hold,successful_grip
17800,66.1,63.2,65.3,61.0,65.3,57,455,0.063,-0.001,1.059,-0.344,-0.436,-0.381,grip_hold,successful_grip
17900,64.0,66.0,67.7,68.1,67.9,55,480,0.065,-0.018,1.004,-0.113,-0.698,-0.123,grip_hold,successful_grip
18000,62.1,65.8,62.3,65.0,68.9,52,462,0.039,-0.001,0.965,-1.142,1.078,0.97,grip_hold,successful_grip
18100,65.8,64.3,65.5,64.7,66.5,57,446,0.079,-0.046,0.952,-0.394,-0.661,-0.864,grip_hold,successful_grip
18200,66.1,60.4,66.3,63.8,63.1,55,447,0.052,-0.094,0.979,0.572,0.22,0.34,grip_hold,successful_grip
18300,63.0,61.4,64.7,64.1,68.3,53,441,0.042,-0.019,0.96,-0.189,0.063,0.555,grip_hold,successful_grip
18400,62.5,63.2,64.8,61.2,64.4,55,437,0.016,-0.003,0.975,-0.505,0.098,-0.482,grip_hold,successful_grip
18500,64.0,60.1,64.9,62.7,67.4,59,436,0.054,-0.018,1.001,0.085,-0.839,0.069,grip_hold,successful_grip
18600,66.8,63.3,65.4,63.9,67.3,58,433,0.024,-0.077,0.985,0.006,-0.861,-0.406,grip_hold,successful_grip
18700,64.0,60.7,66.0,69.6,67.4,58,465,0.022,-0.02,0.922,0.976,0.225,-0.413,grip_hold,successful_grip
18800,65.0,59.1,65.5,69.3,65.1,58,437,0.035,-0.03,0.954,0.066,-0.395,-0.838,grip_hold,successful_grip
18900,66.8,63.1,62.6,65.9,64.3,58,444,-0.022,0.042,1.02,-0.636,-0.357,0.62,grip_hold,successful_grip
19000,66.7,69.6,63.3,65.3,61.2,40,370,0.04,-0.036,0.984,-5.352,1.28,-1.262,release,movement_phase
19100,63.3,62.8,65.4,62.0,63.1,36,353,0.052,-0.035,0.917,-4.197,-0.068,1.103,release,movement_phase
19200,53.8,58.1,56.4,60.5,58.1,37,352,0.163,-0.008,0.997,-4.478,0.251,0.24,release,movement_phase
19300,53.4,50.8,51.1,55.1,54.4,33,295,0.034,0.01,0.975,-3.817,1.095,0.766,release,movement_phase
19400,49.8,55.5,44.6,52.7,47.4,30,287,-0.001,-0.048,1.002,-3.18,0.039,-0.287,release,movement_phase
19500,49.2,40.4,49.2,43.5,41.6,31,272,-0.026,0.038,0.991,-4.906,-1.067,0.477,release,movement_phase
19600,38.3,38.7,40.7,41.5,37.4,25,282,0.087,-0.043,0.968,-1.819,-0.181,0.034,release,movement_phase
19700,34.4,34.5,33.1,36.7,37.9,23,261,0.049,-0.002,1.021,-4.507,1.807,-1.084,release,movement_phase
19800,33.5,28.9,32.0,28.2,32.3,20,217,-0.011,0.065,0.983,-3.815,-0.07,0.225,release,movement_phase
19900,25.9,23.8,30.3,29.7,28.1,21,194,0.015,-0.049,0.933,-3.33,-0.424,0.773,release,movement_phase
20000,27.3,19.4,23.3,23.1,22.0,17,219,0.12,-0.124,1.021,-3.476,0.465,-1.022,release,movement_phase
20100,19.0,14.3,21.4,18.3,16.7,15,181,-0.027,-0.066,0.991,-1.444,-0.828,2.172,release,movement_phase
