time_ms,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,grip_force,emg_level,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,exercise_state,interpretation
0,2.9,2.4,1.4,5.1,3.2,1,65,0.019,-0.032,0.97,-1.155,-0.217,-0.099,rest,no_exercise
100,1.9,8.0,1.7,7.5,5.9,2,78,0.04,-0.018,1.055,-0.868,-0.001,0.123,rest,no_exercise
200,4.8,3.8,0.2,7.4,3.2,3,62,0.003,-0.004,1.05,0.591,-0.278,-0.024,rest,no_exercise
300,5.5,6.0,0.0,8.7,2.1,1,76,-0.054,-0.05,0.956,-0.092,-0.132,-0.505,rest,no_exercise
400,3.6,3.3,2.3,8.4,2.8,1,82,0.084,0.086,0.935,0.191,-0.116,-0.086,rest,no_exercise
500,6.6,7.6,0.0,4.4,3.6,0,100,0.081,-0.024,0.986,0.065,-0.25,-0.197,rest,no_exercise
600,4.3,8.0,1.4,6.1,5.6,2,124,0.077,-0.089,0.932,-0.189,0.042,0.349,rest,no_exercise
700,3.8,4.9,0.0,6.4,9.3,4,68,0.066,0.003,0.935,0.49,-0.06,0.654,rest,no_exercise
800,1.4,4.7,4.9,4.5,1.7,2,48,-0.109,-0.046,0.946,-1.111,0.455,-0.475,rest,no_exercise
900,4.9,8.3,0.1,4.0,1.7,3,79,-0.098,-0.048,0.928,0.519,-0.725,0.22,rest,no_exercise
1000,2.0,7.0,1.8,8.9,3.3,2,83,0.022,-0.06,0.993,-0.212,-0.131,-0.472,rest,no_exercise
1100,4.4,5.5,5.7,3.7,3.7,2,87,0.002,-0.021,1.018,0.19,-0.096,0.719,rest,no_exercise
1200,2.3,5.3,0.1,5.9,5.3,3,118,0.066,-0.124,1.008,0.065,-0.172,-0.198,rest,no_exercise
1300,5.2,6.5,1.2,8.4,4.8,0,91,-0.008,0.024,0.979,0.383,-0.196,-0.025,rest,no_exercise
1400,2.0,4.9,0.3,7.9,3.8,3,61,0.096,0.006,0.948,0.197,-0.243,0.287,rest,no_exercise
1500,3.0,6.5,3.3,5.3,4.7,1,85,0.027,-0.007,1.016,0.152,-0.421,0.406,rest,no_exercise
1600,4.1,2.1,0.3,7.8,1.8,0,34,0.061,-0.009,0.946,0.327,-0.024,-0.099,rest,no_exercise
1700,3.0,9.8,4.0,4.3,3.8,6,79,0.063,0.014,1.007,0.605,0.38,0.037,rest,no_exercise
1800,4.3,7.4,3.9,8.8,4.9,3,102,0.073,-0.118,1.004,-0.519,-0.464,0.323,rest,no_exercise
1900,5.5,7.9,0.9,5.5,6.3,1,76,0.076,-0.01,1.016,-0.526,-0.077,0.102,rest,no_exercise
2000,7.2,5.8,1.6,4.7,2.0,0,98,0.08,-0.038,0.988,-0.54,0.133,-0.321,rest,no_exercise
2100,6.9,5.0,0.0,4.6,3.5,2,91,-0.061,-0.031,0.909,0.006,-0.282,-0.445,rest,no_exercise
2200,5.3,8.4,2.8,5.0,5.3,1,88,0.038,-0.042,0.934,0.375,-0.116,-0.088,rest,no_exercise
2300,5.7,7.7,0.0,3.8,3.7,0,87,0.029,0.073,1.016,0.119,0.13,0.087,rest,no_exercise
2400,5.2,6.8,0.2,5.7,9.0,1,84,0.094,0.001,0.964,-0.317,-0.645,0.338,rest,no_exercise
2500,7.0,8.2,0.2,8.2,7.0,0,107,0.067,0.015,0.987,-0.888,0.241,-0.042,rest,no_exercise
