time_ms,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,grip_force,emg_level,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,exercise_state,interpretation
0,6.3,4.8,5.3,5.1,5.0,4,67,-0.009,-0.073,1.016,0.564,-0.045,-0.007,rest,no_exercise
100,5.4,2.4,5.1,7.3,5.6,2,54,0.016,-0.018,0.94,-0.328,-0.328,-0.028,rest,no_exercise
200,5.4,5.8,7.2,7.2,3.0,5,76,0.038,-0.006,0.977,0.15,0.021,-0.305,rest,no_exercise
300,8.4,2.5,5.4,3.9,5.7,3,97,0.166,-0.049,0.973,0.308,0.067,0.245,rest,no_exercise
400,4.9,4.8,2.2,7.3,8.1,0,83,0.108,0.041,0.969,-0.654,0.204,0.008,rest,no_exercise
500,4.3,4.7,4.5,5.7,5.6,0,106,-0.082,0.016,0.99,-0.053,0.386,0.123,rest,no_exercise
600,8.0,4.9,6.5,8.7,6.8,0,106,-0.018,-0.115,0.935,0.89,0.46,0.241,rest,no_exercise
700,4.3,3.3,3.5,5.8,2.4,3,79,0.012,-0.003,0.998,-0.131,-0.078,-0.226,rest,no_exercise
800,2.5,3.3,5.1,8.4,5.2,4,95,-0.033,0.005,0.962,-0.744,0.362,-0.549,rest,no_exercise
900,6.9,3.6,2.4,7.4,7.3,5,51,0.052,-0.029,0.951,0.092,-0.103,0.235,rest,no_exercise
1000,6.0,5.7,7.8,6.4,6.0,3,104,-0.021,-0.028,0.955,-1.151,0.219,-0.233,rest,no_exercise
1100,6.4,6.1,4.4,3.9,2.6,0,102,0.087,-0.05,1.043,0.073,0.391,-0.268,rest,no_exercise
1200,7.8,4.5,4.0,5.5,2.0,1,53,0.081,0.007,1.016,-0.842,0.041,0.297,rest,no_exercise
1300,6.8,6.9,0.7,6.9,6.4,4,45,0.089,0.01,0.961,0.336,0.18,-0.308,rest,no_exercise
1400,4.8,2.1,6.0,4.6,6.0,5,62,0.081,-0.034,0.955,-0.591,0.067,-0.565,rest,no_exercise
1500,8.5,4.5,3.4,5.6,5.2,0,88,0.086,-0.052,1.034,-0.656,-0.52,-0.544,rest,no_exercise
1600,5.4,3.4,9.2,8.8,4.2,3,86,0.044,-0.047,0.91,0.804,0.22,-0.063,rest,no_exercise
1700,3.0,5.2,4.8,9.2,7.6,3,83,0.092,-0.011,0.88,0.116,-0.249,-0.361,rest,no_exercise
1800,6.3,3.5,4.5,6.2,1.7,4,92,0.005,0.049,0.977,-0.758,0.466,0.086,rest,no_exercise
1900,6.6,2.4,6.2,7.9,7.4,3,85,0.018,0.026,0.939,0.464,-0.667,0.089,rest,no_exercise
2000,6.3,4.4,6.5,6.9,3.8,3,109,0.021,-0.004,0.93,0.614,0.111,0.401,rest,no_exercise
2100,6.7,2.6,5.9,7.5,4.0,0,100,0.021,-0.025,1.053,-1.865,-0.436,-0.027,rest,no_exercise
2200,3.3,8.0,7.3,4.4,5.1,5,83,0.017,-0.061,0.908,-0.459,-0.606,0.509,rest,no_exercise
2300,6.4,1.9,2.9,8.0,8.2,3,72,0.003,-0.086,0.905,-0.548,-0.461,0.494,rest,no_exercise
2400,5.7,5.2,6.4,3.8,2.3,0,63,-0.018,-0.038,0.901,0.82,-0.265,0.291,rest,no_exercise
2500,5.2,5.0,7.2,4.7,5.2,2,94,0.089,0.023,1.008,0.231,-0.308,0.265,rest,no_exercise
2600,4.9,3.3,5.5,6.0,8.5,0,78,-0.012,0.023,1.022,0.333,0.003,-0.354,rest,no_exercise
2700,5.9,2.6,4.2,5.3,5.0,4,101,0.046,0.021,0.999,-0.512,0.117,-0.498,rest,no_exercise
2800,7.1,7.0,5.7,6.8,6.5,3,96,-0.002,-0.009,0.947,-0.491,-0.389,0.115,rest,no_exercise
2900,4.5,3.0,6.0,8.1,0.5,0,69,0.0,-0.053,0.932,0.431,0.325,-0.127,rest,no_exercise
